序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
69,大飞机,4045.89,0.72,414.31,419.11,-4.8,152,铂力特,20.0,107.28
70,小米概念,2295.16,0.72,1898.25,1876.03,22.22,371,麦捷科技,20.02,27.76
71,减速器,2051.84,0.7,324.74,301.31,23.43,138,均普智能,11.67,10.43
72,智能医疗,4355.09,0.63,616.79,653.73,-36.94,329,爱迪特,20.0,63.17
73,信创,2017.06,0.6,700.73,673.85,26.88,304,东方国信,20.03,18.7
74,毫米波雷达,2345.22,0.59,773.93,768.4,5.53,126,均普智能,11.67,10.43
75,专精特新,1785.75,0.59,2318.39,2322.89,-4.5,1199,金戈新材,21.67,73.0
76,AI眼镜,3018.25,0.59,1266.93,1272.65,-5.72,189,麦捷科技,20.02,27.76
77,网络安全,5453.85,0.58,444.01,451.79,-7.79,197,科创信息,12.96,14.29
78,汽车电子,6376.59,0.58,2440.7,2361.98,78.72,385,麦捷科技,20.02,27.76
79,ChatGPT概念,1759.15,0.57,300.3,270.88,29.42,140,东方国信,20.03,18.7
80,星闪概念,1485.35,0.57,150.08,147.87,2.21,74,雷柏科技,7.84,19.52
81,数据中心(AIDC),2514.46,0.54,3670.53,3594.72,75.81,633,东方国信,20.03,18.7
82,传感器,1795.03,0.53,1132.69,1104.73,27.96,267,春晖智控,20.0,41.4
83,空间计算,1342.74,0.51,81.38,80.64,0.74,63,凌云光,14.1,69.09
84,抖音概念(字节概念),1698.8,0.5,751.38,694.67,56.71,215,中富通,10.49,18.75
85,脑机接口,1572.6,0.5,107.96,125.88,-17.91,71,均普智能,11.67,10.43
86,卫星导航,5120.83,0.46,995.38,1012.08,-16.7,277,春晖智控,20.0,41.4
87,汽车热管理,2241.27,0.44,250.82,229.18,21.64,141,春晖智控,20.0,41.4
88,国产操作系统,1763.6,0.44,397.06,336.59,60.47,134,寒武纪,14.2,1507.46
89,毛发医疗,1030.05,0.43,9.25,9.65,-0.39,26,泰恩康,4.59,20.27
90,机器人概念,4226.09,0.42,3483.18,3486.53,-3.35,1202,麦捷科技,20.02,27.76
91,物联网,3120.67,0.42,1721.71,1646.11,75.6,462,东方国信,20.03,18.7
92,数据安全,1145.15,0.41,479.77,506.22,-26.45,176,东方国信,20.03,18.7
93,AIGC概念,1997.7,0.41,475.94,455.64,20.3,291,东方国信,20.03,18.7
94,合成生物,1455.68,0.41,131.65,132.29,-0.64,166,皓元医药,15.08,86.37
95,云游戏,1525.53,0.41,83.08,81.21,1.87,27,宝通科技,8.74,30.62
96,MR(混合现实),1950.58,0.4,320.27,305.49,14.78,70,凌云光,14.1,69.09
97,工业互联网,2776.17,0.4,1337.24,1366.54,-29.31,434,东方国信,20.03,18.7
98,无人机,3318.09,0.4,1218.9,1228.97,-10.07,460,麦捷科技,20.02,27.76
99,天津自贸区,1081.09,0.39,12.53,10.45,2.08,16,九安医疗,10.0,73.51
100,可控核聚变,2617.86,0.38,514.79,527.7,-12.91,112,鑫宏业,20.0,46.75
101,阿里巴巴概念,1954.25,0.38,1378.33,1282.61,95.72,690,麦捷科技,20.02,27.76
102,PET铜箔,2667.12,0.36,371.32,408.95,-37.63,50,铜冠铜箔,10.08,200.0
103,网络游戏,1518.78,0.36,136.73,127.23,9.5,66,昆仑万维,10.97,43.0
104,光刻胶,5764.02,0.35,277.63,298.88,-21.25,77,世名科技,19.99,19.21
105,元宇宙,1864.61,0.35,461.06,435.69,25.36,181,东方国信,20.03,18.7
106,AI智能体,1366.66,0.35,793.5,770.64,22.87,440,东方国信,20.03,18.7
107,比亚迪概念,2151.17,0.34,2107.13,2165.76,-58.63,674,麦捷科技,20.02,27.76
108,新能源汽车,5134.95,0.34,3387.3,3450.64,-63.34,1044,麦捷科技,20.02,27.76
109,数字孪生,1951.96,0.33,377.01,366.81,10.2,204,东方国信,20.03,18.7
110,商业航天,2480.46,0.33,2089.87,2126.84,-36.98,497,春晖智控,20.0,41.4
111,核污染防治,1686.71,0.32,95.73,102.17,-6.44,59,碧兴物联,20.0,30.78
112,流感,1308.58,0.32,74.51,72.89,1.63,183,丹娜生物,20.95,41.97
113,短剧游戏,1248.25,0.31,167.08,150.23,16.85,86,昆仑万维,10.97,43.0
114,军工,2571.29,0.31,1610.36,1670.05,-59.69,604,春晖智控,20.0,41.4
115,超导概念,2841.09,0.31,162.87,177.78,-14.91,32,洁美科技,10.0,99.73
116,智能座舱,1774.04,0.3,888.77,904.56,-15.79,169,裕太微,20.0,238.8
117,MiniLED,3258.96,0.3,864.76,899.22,-34.46,104,明微电子,11.22,72.68
118,军工信息化,1772.15,0.29,141.45,145.03,-3.58,111,诺唯赞,13.18,15.72
119,PEEK材料,2209.5,0.29,150.98,163.81,-12.83,52,双林股份,11.86,31.69
120,C2M概念,1929.24,0.28,31.62,29.25,2.37,39,梦百合,10.1,5.56
121,云计算,3901.28,0.28,601.53,580.75,20.78,219,东方国信,20.03,18.7
122,2026一季报预增,1293.52,0.28,765.59,789.99,-24.39,101,博云新材,10.01,28.36
123,宁德时代概念,2633.26,0.26,1240.71,1317.96,-77.25,291,鑫宏业,20.0,46.75
124,智慧政务,1417.13,0.26,256.43,259.93,-3.5,217,东方国信,20.03,18.7
125,家庭医生,1140.59,0.26,55.84,84.37,-28.52,26,科创信息,12.96,14.29
126,小金属概念,3859.1,0.25,871.94,982.1,-110.17,169,东方锆业,10.03,16.13
127,语音技术,1887.81,0.24,91.36,90.94,0.43,62,中电港,7.34,29.41
128,虚拟数字人,1351.1,0.24,285.36,262.88,22.48,175,东方国信,20.03,18.7
129,金属回收,1257.53,0.24,292.88,314.62,-21.74,86,美畅股份,19.98,24.32
130,特斯拉概念,6144.6,0.23,1138.12,1162.2,-24.08,249,双林股份,11.86,31.69
131,医疗器械概念,2987.95,0.23,739.52,757.55,-18.03,406,爱迪特,20.0,63.17
132,DRG/DIP,948.585,0.23,10.33,10.22,0.11,22,科创信息,12.96,14.29
133,华为概念,3739.28,0.23,3612.89,3697.24,-84.35,1004,东方国信,20.03,18.7
134,独角兽概念,1961.11,0.22,315.8,336.62,-20.83,109,昆仑万维,10.97,43.0
135,动物疫苗,1346.34,0.21,11.82,13.97,-2.15,20,贤丰控股,10.05,4.71
136,飞行汽车(eVTOL),1966.87,0.21,287.21,320.26,-33.05,272,金博股份,20.0,59.75
137,小红书概念,1494.53,0.2,92.47,94.52,-2.05,54,天娱数科,9.96,7.73
138,医美概念,1214.7,0.19,95.46,96.83,-1.37,95,奥美医疗,9.97,9.82
139,人工智能,1320.7,0.19,2404.34,2382.62,21.71,1071,丹娜生物,20.95,41.97
140,肝炎概念,1016.95,0.18,60.41,59.54,0.88,139,华森制药,10.01,13.3
141,车联网(车路协同),1183.83,0.17,635.59,632.76,2.83,296,裕太微,20.0,238.8
142,手机游戏,2590.27,0.17,89.76,80.63,9.13,59,昆仑万维,10.97,43.0
143,小米汽车,1727.07,0.17,462.36,482.52,-20.16,119,金博股份,20.0,59.75
144,金属钴,2985.53,0.17,242.49,269.07,-26.58,31,中钨高新,10.0,98.48
145,仿制药一致性评价,1467.46,0.17,84.97,76.7,8.28,143,华森制药,10.01,13.3
146,高端装备,3582.41,0.17,903.78,927.31,-23.53,371,屹唐股份,19.99,33.07
147,同花顺出海50,1837.88,0.16,928.1,932.25,-4.14,50,工业富联,7.49,78.08
148,2025年报预增,1192.56,0.16,2494.67,2545.26,-50.58,504,铂力特,20.0,107.28
149,腾讯概念,1329.4,0.15,873.31,819.68,53.63,296,中嘉博创,10.14,4.02
150,低空经济,2233.64,0.15,1160.47,1207.56,-47.09,497,金博股份,20.0,59.75
151,无人驾驶,3089.13,0.14,1520.67,1509.28,11.39,406,裕太微,20.0,238.8
152,AI应用,847.215,0.14,809.25,843.14,-33.89,504,东方国信,20.03,18.7
153,华为数字能源,1829.18,0.13,127.33,136.23,-8.89,46,华体科技,10.01,21.43
154,军民融合,1656.32,0.12,418.7,440.62,-21.91,245,春晖智控,20.0,41.4
155,柔性屏(折叠屏),3959.04,0.11,705.83,749.8,-43.97,107,彩客科技,18.22,77.67
156,DeepSeek概念,1628.07,0.1,1564.57,1575.72,-11.15,770,东方国信,20.03,18.7
157,生物疫苗,1488.43,0.1,30.04,31.7,-1.66,59,昭衍新药,9.99,35.66
158,华为鲲鹏,1374.6,0.1,314.48,319.78,-5.31,175,东方国信,20.03,18.7
159,鸿蒙概念,1783.41,0.1,343.24,324.58,18.66,258,东方国信,20.03,18.7
160,太赫兹,2378.97,0.1,201.55,204.3,-2.75,22,泰豪科技,2.45,12.13
161,财税数字化,1660.19,0.1,65.26,61.8,3.45,65,科创信息,12.96,14.29
162,智能物流,1109.14,0.09,401.27,409.27,-8.0,238,五洋自控,15.77,7.49
163,智能家居,3817.71,0.09,615.74,608.7,7.04,288,富满微,11.06,60.47
164,量子科技,2636.78,0.09,658.52,636.97,21.54,113,光迅科技,10.0,266.2
165,幽门螺杆菌概念,957.079,0.08,32.82,34.49,-1.67,75,华森制药,10.01,13.3
166,金属铜,1893.69,0.07,414.08,468.31,-54.23,94,电工合金,10.97,19.01
167,一体化压铸,1313.68,0.05,84.54,97.79,-13.26,54,三祥新材,9.99,87.49
168,食品安全,4636.59,0.05,67.75,67.84,-0.08,83,科创信息,12.96,14.29
169,换电概念,1631.39,0.05,185.33,196.02,-10.68,94,通合科技,10.14,38.88
170,数据要素,1191.67,0.05,572.54,577.68,-5.14,391,东方国信,20.03,18.7
171,华为手机,2005.5,0.03,254.61,253.7,0.92,45,凌云光,14.1,69.09
172,虚拟现实,1079.87,0.02,1248.86,1239.78,9.08,287,东方国信,20.03,18.7
173,ETC,1748.04,0.02,44.66,46.56,-1.9,42,智微智能,10.0,126.93
174,丙烯酸,1934.49,0.01,39.65,41.23,-1.58,20,日科化学,10.76,9.47
175,空气能热泵,1505.41,0.01,81.27,87.25,-5.97,54,冰轮环境,9.99,40.17
176,百度概念,1929.09,0.01,640.64,606.31,34.33,232,科创信息,12.96,14.29
177,智慧城市,4271.69,-0.01,842.9,831.16,11.74,418,东方国信,20.03,18.7
178,医药电商,928.245,-0.01,90.16,83.18,6.98,176,华森制药,10.01,13.3
179,养老概念,2035.82,-0.01,155.39,150.33,5.07,219,香江控股,10.15,3.58
180,金属镍,1377.7,-0.03,162.31,191.08,-28.77,39,博迁新材,10.0,231.31
181,华为盘古,993.158,-0.03,36.3,33.82,2.48,29,吉宏股份,5.43,23.9
182,区块链,1466.65,-0.04,499.92,488.5,11.42,261,东方国信,20.03,18.7
183,成飞概念,1928.76,-0.05,66.92,66.61,0.31,43,博云新材,10.01,28.36
184,职业教育,1560.29,-0.05,128.82,115.5,13.32,133,东方国信,20.03,18.7
