序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
298,消毒剂,2033.22,-0.9,113.3,124.68,-11.38,60,利民股份,9.9,18.1
299,俄乌冲突概念,1449.35,-0.91,161.27,197.66,-36.39,74,中泰股份,12.97,23.95
300,广东自贸区,1274.54,-0.93,14.66,20.69,-6.02,27,贤丰控股,10.05,4.71
301,广东自贸区,1274.54,-0.93,14.66,20.69,-6.02,27,贤丰控股,10.05,4.71
302,无人零售,1271.52,-0.94,12.62,14.48,-1.86,25,云从科技,3.48,14.27
303,举牌,2828.62,-0.94,12.03,13.03,-1.0,17,可川科技,4.18,95.68
304,乡村振兴,1084.54,-0.94,580.82,600.39,-19.57,432,东方国信,20.03,18.7
305,土壤修复,1061.8,-0.94,96.93,112.51,-15.59,91,韩建河山,10.05,6.46
306,预制菜,951.607,-0.95,37.73,46.64,-8.91,101,四方科技,5.54,13.52
307,自由贸易港,912.846,-0.96,30.28,40.9,-10.62,45,欣龙控股,7.34,4.97
308,两轮车,1709.53,-0.96,102.49,118.73,-16.24,74,天海电子,10.0,44.22
309,雄安新区,1132.81,-0.97,201.21,238.58,-37.38,195,通合科技,10.14,38.88
310,白酒概念,5886.2,-0.97,63.87,82.62,-18.75,48,吉宏股份,5.43,23.9
311,航运概念,1604.19,-0.97,73.57,97.56,-23.99,85,恒通股份,9.96,10.16
312,农业种植,2233.12,-0.98,33.54,38.87,-5.33,92,中航泰达,8.73,8.34
313,旅游概念,2626.97,-0.98,116.74,142.75,-26.01,150,三特索道,10.03,14.37
314,土地流转,1815.99,-0.99,19.02,26.33,-7.31,42,康欣新材,9.88,3.67
315,装配式建筑,939.925,-0.99,47.83,60.37,-12.54,107,ST逸飞,6.96,70.97
316,数字货币,1898.63,-0.99,121.57,125.03,-3.46,91,芯原股份,6.42,274.0
317,房屋检测,1612.08,-1.0,18.11,21.63,-3.52,46,苏博特,7.07,14.23
318,地下管网,1279.89,-1.02,47.6,57.65,-10.05,112,武汉天源,11.72,14.78
319,有机硅概念,2242.82,-1.02,102.97,127.9,-24.93,51,和远气体,10.01,67.38
320,虚拟电厂,1620.7,-1.02,365.51,449.72,-84.21,155,东方国信,20.03,18.7
321,互联网保险,902.658,-1.03,105.73,153.28,-47.54,21,东方国信,20.03,18.7
322,物业管理,1103.13,-1.08,111.31,130.32,-19.01,181,香江控股,10.15,3.58
323,上海国企改革,1708.97,-1.08,62.16,68.43,-6.26,108,上海机电,10.02,22.4
324,天然气,1622.58,-1.08,165.77,198.13,-32.36,164,春晖智控,20.0,41.4
325,移动支付,2254.12,-1.09,103.74,115.56,-11.82,77,顺络电子,6.97,71.16
326,特色小镇,483.374,-1.11,31.27,39.12,-7.85,40,三特索道,10.03,14.37
327,烟草,1558.67,-1.12,28.01,32.05,-4.04,41,大胜达,5.42,19.45
328,金属锌,2175.63,-1.12,158.92,193.4,-34.47,44,株冶集团,7.94,28.82
329,HJT电池,3429.75,-1.14,206.13,234.94,-28.81,66,帝科股份,10.43,86.2
330,玉米,2172.05,-1.14,13.13,16.68,-3.55,32,亚盛集团,5.25,3.61
331,国企改革,1402.17,-1.17,2857.71,3286.29,-428.58,2924,麦捷科技,20.02,27.76
332,芬太尼,2068.24,-1.17,3.71,5.34,-1.64,8,博拓生物,1.98,38.19
333,垃圾分类,1830.74,-1.17,65.73,71.99,-6.26,98,中富通,10.49,18.75
334,新疆振兴,974.208,-1.18,126.68,157.91,-31.24,157,中泰股份,12.97,23.95
335,同花顺漂亮100,826.9,-1.18,1303.33,1482.41,-179.08,100,蓝思科技,8.9,55.77
336,金属铅,1916.96,-1.19,162.94,195.02,-32.08,39,株冶集团,7.94,28.82
337,PPP概念,892.421,-1.21,132.47,162.13,-29.66,199,武汉天源,11.72,14.78
338,乳业,1796.89,-1.23,12.07,15.37,-3.3,35,庄园牧场,4.39,11.65
339,风电,1379.87,-1.24,1064.71,1246.89,-182.18,431,武汉天源,11.72,14.78
340,央企国企改革,3133.05,-1.24,1083.14,1256.02,-172.88,788,中瓷电子,10.0,176.29
341,参股券商,1421.38,-1.25,145.3,218.57,-73.26,226,三特索道,10.03,14.37
342,参股保险,1336.34,-1.25,93.23,113.13,-19.9,114,盛和资源,10.01,31.66
343,盐湖提锂,2023.36,-1.27,216.99,271.08,-54.08,46,*ST正平,5.01,8.8
344,跨境支付(CIPS),1495.26,-1.3,105.73,155.44,-49.7,73,三未信安,4.21,24.49
345,参股银行,1427.97,-1.36,229.86,296.01,-66.14,768,海亮股份,10.0,25.52
346,工业大麻,1376.69,-1.39,16.19,20.96,-4.77,31,*ST聆达,3.54,9.94
347,生态农业,1515.67,-1.39,29.01,35.02,-6.02,60,亚盛集团,5.25,3.61
348,光热发电,1047.62,-1.41,45.67,63.97,-18.3,48,凯盛新能,5.41,9.93
349,ST板块,494.626,-1.44,49.4,67.26,-17.86,225,*ST香雪,9.03,9.9
350,养鸡,1066.36,-1.44,8.33,10.2,-1.87,22,天马科技,4.02,11.13
351,黑龙江自贸区,1645.75,-1.45,19.63,24.46,-4.83,36,广联航空,3.93,35.18
352,中字头股票,1778.47,-1.5,471.59,536.88,-65.29,134,中瓷电子,10.0,176.29
353,光伏建筑一体化,1573.54,-1.52,257.84,319.86,-62.02,133,太极实业,9.99,20.92
354,大豆,1505.34,-1.52,7.39,10.29,-2.91,15,嘉华股份,2.56,12.41
355,磷化工,3162.97,-1.53,201.15,230.17,-29.02,68,丰元股份,9.98,26.88
356,证金持股,1091.83,-1.56,807.37,1023.21,-215.83,191,同大股份,10.04,49.52
357,供销社,1023.66,-1.56,7.64,12.02,-4.37,15,黄山谷捷,0.61,47.61
358,租售同权,745.625,-1.57,22.38,25.9,-3.52,29,阳光股份,10.0,7.59
359,PM2.5,1859.26,-1.65,41.1,48.6,-7.51,36,华盛昌,4.62,131.35
360,农村电商,1604.03,-1.66,14.78,19.42,-4.64,37,合百集团,1.54,7.89
361,高股息精选,1428.23,-1.68,318.62,499.32,-180.7,285,天润工业,10.04,11.07
362,超级品牌,1390.9,-1.69,156.41,207.83,-51.42,48,养元饮品,4.08,45.68
363,绿色电力,1191.58,-1.7,841.86,1032.98,-191.12,422,武汉天源,11.72,14.78
364,兵装重组概念,1073.22,-1.71,3.74,4.38,-0.63,14,长安汽车,0.81,7.45
365,化肥,949.132,-1.74,99.71,127.48,-27.77,74,富祥股份,6.92,19.48
366,建筑节能,1414.62,-1.75,88.39,101.03,-12.64,95,苏博特,7.07,14.23
367,碳交易,1035.93,-1.75,193.51,255.4,-61.89,117,康欣新材,9.88,3.67
368,免税店,886.309,-1.76,23.18,31.46,-8.28,26,中百集团,3.47,6.26
369,石墨电极,1133.24,-1.77,27.34,37.25,-9.91,25,龙佰集团,4.24,15.48
370,水泥概念,1149.25,-1.77,32.72,43.16,-10.44,46,中航泰达,8.73,8.34
371,煤化工概念,2318.03,-1.82,181.41,223.24,-41.83,110,中泰股份,12.97,23.95
372,化债概念(AMC概念),1090.88,-1.9,18.39,25.05,-6.67,42,中钢天源,2.52,12.18
373,POE胶膜,918.789,-1.9,36.71,45.84,-9.13,29,新广益,20.0,82.44
374,猪肉,2102.25,-1.91,18.79,26.56,-7.77,32,华统股份,1.64,8.08
375,信托概念,1097.25,-1.95,16.33,22.58,-6.25,23,国网英大,5.22,5.24
376,抽水蓄能,1674.34,-1.97,170.91,225.03,-54.12,77,苏博特,7.07,14.23
377,草甘膦,1403.03,-2.06,19.83,23.64,-3.81,19,兴发集团,2.79,38.65
378,生物质能发电,1064.31,-2.06,38.68,56.41,-17.73,61,武汉天源,11.72,14.78
379,电子纸,1428.19,-2.13,160.69,196.12,-35.43,25,海目星,6.71,77.9
380,期货概念,1727.48,-2.15,136.25,184.98,-48.72,71,国网英大,5.22,5.24
381,同花顺中特估100,1126.64,-2.3,541.27,693.39,-152.12,100,海光信息,6.42,328.0
382,煤炭概念,2212.7,-2.35,144.69,189.0,-44.31,89,江钨装备,10.02,20.2
383,硅能源,1234.09,-2.38,210.01,256.29,-46.28,63,博迁新材,10.0,231.31
384,环氧丙烷,1627.34,-2.59,54.58,67.45,-12.87,26,国恩股份,2.81,54.5
385,超超临界发电,1684.78,-2.69,145.48,216.53,-71.05,87,德创环保,10.01,10.88
