code,name,amount,turnover,pe,pb,market_cap,is_theme,is_core_theme,is_satellite_theme,theme_tier,concepts,trade_date,price,day_ret,ma5,ma10,ma20,ma60,low5,high20,vol_ratio,avg_range20,momentum20,momentum5,close_position,upper_shadow,lower_shadow,gap,ma10_dist,ma20_dist,high20_dist,low,score,amount_score,quality_score,rank,strategy,strategy_name
600198.SH,大唐电信,782429108.0,6.24,-48.57,66.04,12710134525.0,True,True,False,core,['半导体概念'],2026-06-26,9.75,1.8808777429466943,9.358,9.325,9.0485,8.772666666666668,8.56,10.01,1.0568301926160057,5.778518160353326,21.875,7.378854625550659,0.8979591836734679,0.10204081632653202,0.28571428571428314,-1.2539184952978104,4.557640750670245,7.752666187765911,-2.597402597402592,9.31,4.451691,11.044025,6.839406,1,main_theme,主线三日趋势承接
300041.SZ,回天新材,1042026102.97,12.8,25.8,2.94,8648879354.0,True,True,False,core,"['PCB', '半导体概念']",2026-06-26,15.46,2.792553191489361,14.918000000000001,14.49,14.1005,12.546,14.04,15.75,1.1355347248022942,5.818780774373128,6.181318681318686,1.3770491803278873,1.0,0.0,0.3090909090909086,-2.2606382978723474,6.694271911663236,9.641502074394538,-1.8412698412698347,14.36,4.431409,10.462479,4.959266,2,main_theme,主线三日趋势承接
600459.SH,XD贵研铂,2039132052.0,9.79,26.05,2.6,23142347925.0,True,True,False,core,"['半导体概念', '新材料']",2026-06-26,28.11,5.636978579481394,26.898000000000003,26.451000000000004,24.8675,21.85233333333333,24.94,28.58,1.0246100521979031,7.618980431760339,32.34463276836158,-0.8115737473535631,0.8368055555555559,0.16319444444444411,0.3229166666666667,0.0751597143930951,6.271974594533276,13.039107268523182,-1.6445066480055885,25.7,4.351165,11.951287,4.95688,3,main_theme,主线三日趋势承接
603688.SH,石英股份,3568953309.0,7.75,318.94,8.08,46909339827.0,True,True,False,core,"['存储芯片', '半导体概念']",2026-06-26,86.6,3.63810435615126,83.35799999999999,80.42499999999998,74.277,63.40283333333333,75.5,87.91,1.0176036707232137,8.697656864722203,29.003426187993455,0.5807200929152145,0.810419681620839,0.18958031837916106,0.2966714905933427,-0.6103398755385427,7.677960833074309,16.59060005115984,-1.4901603913092885,81.0,4.260824,12.020316,4.260824,4,main_theme,主线三日趋势承接
603078.SH,江化微,2219225852.0,12.34,160.65,9.38,18491306042.0,True,True,False,core,"['存储芯片', '半导体概念', '光刻机(胶)']",2026-06-26,47.95,4.488995423839626,46.032,45.501999999999995,42.7315,31.866333333333337,41.4,49.4,0.8403429395486105,8.69202737314827,38.42378752886836,4.534554174841958,0.9700598802395226,0.029940119760477373,0.08682634730538906,-1.939420353018079,5.379983297437491,12.212302399868975,-2.935222672064768,44.71,4.208236,12.107734,4.208236,5,main_theme,主线三日趋势承接
301095.SZ,广立微,2137087600.32,11.83,-498.94,6.89,21388017388.0,True,True,False,core,"['CPO概念', '光刻机(胶)']",2026-06-26,106.79,6.02660841938048,101.466,99.674,97.80799999999998,91.63566666666665,93.71,108.54,1.335897909668352,7.437400081007002,14.446468760047154,8.858307849133553,0.8165618448637317,0.1834381551362682,0.3490566037735845,1.5984908657664931,7.139274033348713,9.183297889743187,-1.6123088262391718,99.0,3.997707,11.388044,19.253135,6,main_theme,主线三日趋势承接
002937.SZ,兴瑞科技,801614093.7,5.77,99.19,7.59,14353161891.0,True,True,False,core,['液冷概念'],2026-06-26,45.42,5.824790307548923,42.974000000000004,41.577000000000005,38.0355,33.911,39.81,46.25,1.0341080444367285,6.715531138807525,44.97286945419728,9.182692307692307,0.8100686498855838,0.1899313501144162,0.32723112128146464,0.9086672879776216,9.243091132116305,19.41475726623814,-1.7945945945945851,41.88,3.972496,12.186717,3.972496,7,main_theme,主线三日趋势承接
300219.SZ,鸿利智汇,996494467.64,14.19,176.27,2.8,7114832235.0,True,True,False,core,"['玻璃基板', '半导体概念', '光刻机(胶)']",2026-06-26,10.05,5.235602094240832,9.394,9.026,8.721,8.069666666666668,8.7,10.31,1.1172564135122494,6.541378684074889,27.862595419847324,8.414239482200657,0.7833333333333337,0.21666666666666629,0.20833333333333315,-1.9895287958115375,11.345003323731447,15.239078087375304,-2.521823472356928,9.11,3.964619,11.508861,4.264619,8,main_theme,主线三日趋势承接
301629.SZ,矽电股份,1181486746.51,14.73,-433.64,15.39,18037448732.0,True,True,False,core,['半导体概念'],2026-06-26,432.27,7.956844234659457,400.62600000000003,395.84499999999997,378.17699999999996,342.54799999999994,370.08,436.0,1.26470258194171,7.412881712547034,17.78474114441417,13.189316575019646,0.9171111111111107,0.08288888888888929,0.1111111111111111,-1.101371094628007,9.201834051206916,14.303619733616799,-0.8555045871559628,391.0,3.924501,11.226368,17.314215,9,main_theme,主线三日趋势承接
002371.SZ,北方华创,10009100572.63,1.71,90.27,15.24,590253824604.0,True,True,False,core,"['存储芯片', '半导体概念', '光刻机(胶)']",2026-06-26,813.37,1.9260651629072782,774.786,732.079,672.4045,578.9310000000002,721.0,828.0,0.9867155407544865,5.1308259345308365,29.132995697524876,9.177181208053682,0.6807767837660925,0.31922321623390754,0.2799476325550956,-0.3759398496240607,11.104129472365699,20.964389738617157,-1.7669082125603808,782.17,3.87407,12.44376,3.87407,10,main_theme,主线三日趋势承接
