code,name,amount,turnover,pe,pb,market_cap,is_theme,is_core_theme,is_satellite_theme,theme_tier,concepts,trade_date,price,day_ret,ma5,ma10,ma20,ma60,low5,high20,vol_ratio,avg_range20,momentum20,momentum5,close_position,upper_shadow,lower_shadow,gap,ma10_dist,ma20_dist,high20_dist,low,score,amount_score,quality_score,rank,strategy,strategy_name
603688.SH,石英股份,3568953309.0,7.75,318.94,8.08,46909339827.0,True,True,False,core,"['存储芯片', '半导体概念']",2026-06-26,86.6,3.63810435615126,83.35799999999999,80.42499999999998,74.277,63.40283333333333,75.5,87.91,1.0176036707232137,8.697656864722203,29.003426187993455,0.5807200929152145,0.810419681620839,0.18958031837916106,0.2966714905933427,-0.6103398755385427,7.677960833074309,16.59060005115984,-1.4901603913092885,81.0,4.260824,12.020316,4.260824,1,fund_flow,资金/量能承接近似
300236.SZ,上海新阳,2397654463.89,7.38,88.22,7.85,36590500184.0,True,True,False,core,"['存储芯片', '半导体概念', '光刻机(胶)']",2026-06-26,116.76,2.7997886951928166,111.912,106.816,100.09400000000001,93.32866666666665,103.58,119.0,1.1567879362605642,6.738017445097043,28.05439789427507,7.011273027220241,0.7200000000000006,0.27999999999999936,0.03125,-2.051417503081538,9.309466746554818,16.650348672248086,-1.882352941176464,111.0,3.824109,11.939294,3.824109,2,fund_flow,资金/量能承接近似
605020.SH,永和股份,1926380882.0,9.38,29.2,3.69,21055947762.0,True,True,False,core,['液冷概念'],2026-06-26,41.22,6.018518518518505,38.498000000000005,36.819,35.306,30.056333333333335,33.4,42.0,1.360460945502717,7.402976346793387,24.306393244873362,9.656823623304064,0.7863013698630134,0.2136986301369867,0.041095890410958534,-0.9773662551440339,11.953067709606444,16.75069393304254,-1.8571428571428612,38.35,3.581611,11.860523,3.824825,3,fund_flow,资金/量能承接近似
002745.SZ,木林森,1582208728.39,11.68,11.32,1.6,18967646579.0,True,True,False,core,"['PCB', '半导体概念']",2026-06-26,12.78,0.868192580899759,12.114,11.353000000000002,10.651499999999999,9.726333333333333,11.14,13.15,1.2883541838926371,6.112522350002151,23.00288739172281,9.605488850771863,0.5194805194805179,0.48051948051948207,0.2207792207792208,-0.9471191791633657,12.569364925570298,19.983100971694128,-2.8136882129277723,12.38,3.333281,11.637762,4.609852,4,fund_flow,资金/量能承接近似
600563.SH,法拉电子,3193625618.0,7.59,39.66,7.35,42471000000.0,False,False,False,,[],2026-06-26,188.76,-0.6735424121237656,178.602,169.98399999999998,164.66200000000003,141.4801666666667,160.6,195.5,1.2316929875537221,7.763742944101488,15.393079838611072,9.14768127674337,0.6213483146067413,0.3786516853932587,0.5786516853932587,-1.073458219322248,11.04574548192771,14.634827707667796,-3.4475703324808222,177.7,2.254744,11.505631,2.254744,5,fund_flow,资金/量能承接近似
301095.SZ,广立微,2137087600.32,11.83,-498.94,6.89,21388017388.0,True,True,False,core,"['CPO概念', '光刻机(胶)']",2026-06-26,106.79,6.02660841938048,101.466,99.674,97.80799999999998,91.63566666666665,93.71,108.54,1.335897909668352,7.437400081007002,14.446468760047154,8.858307849133553,0.8165618448637317,0.1834381551362682,0.3490566037735845,1.5984908657664931,7.139274033348713,9.183297889743187,-1.6123088262391718,99.0,3.997707,11.388044,19.253135,6,fund_flow,资金/量能承接近似
300316.SZ,晶盛机电,3029330897.01,4.24,186.35,4.49,76437487731.0,True,True,False,core,"['存储芯片', '半导体概念', '新材料']",2026-06-26,58.37,3.346317280453249,57.001999999999995,54.169000000000004,51.49349999999998,48.18833333333334,53.23,59.27,1.1456433806215778,7.360985088292801,14.856355765446665,1.8673647469459098,0.7631578947368409,0.23684210526315913,0.1157894736842098,-1.009206798866856,7.755358230722351,13.354112654995333,-1.51847477644678,55.47,3.856925,11.369808,3.856925,7,fund_flow,资金/量能承接近似
600198.SH,大唐电信,782429108.0,6.24,-48.57,66.04,12710134525.0,True,True,False,core,['半导体概念'],2026-06-26,9.75,1.8808777429466943,9.358,9.325,9.0485,8.772666666666668,8.56,10.01,1.0568301926160057,5.778518160353326,21.875,7.378854625550659,0.8979591836734679,0.10204081632653202,0.28571428571428314,-1.2539184952978104,4.557640750670245,7.752666187765911,-2.597402597402592,9.31,4.451691,11.044025,6.839406,8,fund_flow,资金/量能承接近似
301269.SZ,华大九天,2847758936.66,4.69,-212.49,12.12,62048982286.0,True,True,False,core,['存储芯片'],2026-06-26,113.76,3.3242506811989188,106.944,103.95600000000002,103.056,96.29533333333333,97.5,125.32,1.0566813504622867,6.3658866750472916,-0.5159597726278804,11.8474093009537,0.707872928176796,0.2921270718232039,0.4482044198895027,-0.09082652134422631,9.430913078610175,10.386585933861213,-9.224385572933286,103.51,3.365399,10.485387,10.436542,9,fund_flow,资金/量能承接近似
002733.SZ,雄韬股份,1517473004.72,11.69,160.91,5.08,13616576517.0,False,False,False,,[],2026-06-26,35.44,2.103140305387498,34.206,35.076,33.649,30.3865,32.04,37.98,0.9779837674198735,7.006023029174675,6.3625450180071965,1.2571428571428385,0.7414965986394545,0.25850340136054556,0.23809523809523866,-2.160760587726884,1.03774660736687,5.322595025112193,-6.687730384412845,33.26,2.687451,10.477232,2.687451,10,fund_flow,资金/量能承接近似
