code,name,amount,turnover,pe,pb,market_cap,is_theme,is_core_theme,is_satellite_theme,theme_tier,concepts,trade_date,price,day_ret,ma5,ma10,ma20,ma60,low5,high20,vol_ratio,avg_range20,momentum20,momentum5,close_position,upper_shadow,lower_shadow,gap,ma10_dist,ma20_dist,high20_dist,low,score,amount_score,quality_score,rank,strategy,strategy_name
600198.SH,大唐电信,782429108.0,6.24,-48.57,66.04,12710134525.0,True,True,False,core,['半导体概念'],2026-06-26,9.75,1.8808777429466943,9.358,9.325,9.0485,8.772666666666668,8.56,10.01,1.0568301926160057,5.778518160353326,21.875,7.378854625550659,0.8979591836734679,0.10204081632653202,0.28571428571428314,-1.2539184952978104,4.557640750670245,7.752666187765911,-2.597402597402592,9.31,4.451691,11.044025,6.839406,1,broad_trend,宽基趋势承接
600459.SH,XD贵研铂,2039132052.0,9.79,26.05,2.6,23142347925.0,True,True,False,core,"['半导体概念', '新材料']",2026-06-26,28.11,5.636978579481394,26.898000000000003,26.451000000000004,24.8675,21.85233333333333,24.94,28.58,1.0246100521979031,7.618980431760339,32.34463276836158,-0.8115737473535631,0.8368055555555559,0.16319444444444411,0.3229166666666667,0.0751597143930951,6.271974594533276,13.039107268523182,-1.6445066480055885,25.7,4.351165,11.951287,4.95688,2,broad_trend,宽基趋势承接
603688.SH,石英股份,3568953309.0,7.75,318.94,8.08,46909339827.0,True,True,False,core,"['存储芯片', '半导体概念']",2026-06-26,86.6,3.63810435615126,83.35799999999999,80.42499999999998,74.277,63.40283333333333,75.5,87.91,1.0176036707232137,8.697656864722203,29.003426187993455,0.5807200929152145,0.810419681620839,0.18958031837916106,0.2966714905933427,-0.6103398755385427,7.677960833074309,16.59060005115984,-1.4901603913092885,81.0,4.260824,12.020316,4.260824,3,broad_trend,宽基趋势承接
301095.SZ,广立微,2137087600.32,11.83,-498.94,6.89,21388017388.0,True,True,False,core,"['CPO概念', '光刻机(胶)']",2026-06-26,106.79,6.02660841938048,101.466,99.674,97.80799999999998,91.63566666666665,93.71,108.54,1.335897909668352,7.437400081007002,14.446468760047154,8.858307849133553,0.8165618448637317,0.1834381551362682,0.3490566037735845,1.5984908657664931,7.139274033348713,9.183297889743187,-1.6123088262391718,99.0,3.997707,11.388044,19.253135,4,broad_trend,宽基趋势承接
002937.SZ,兴瑞科技,801614093.7,5.77,99.19,7.59,14353161891.0,True,True,False,core,['液冷概念'],2026-06-26,45.42,5.824790307548923,42.974000000000004,41.577000000000005,38.0355,33.911,39.81,46.25,1.0341080444367285,6.715531138807525,44.97286945419728,9.182692307692307,0.8100686498855838,0.1899313501144162,0.32723112128146464,0.9086672879776216,9.243091132116305,19.41475726623814,-1.7945945945945851,41.88,3.972496,12.186717,3.972496,5,broad_trend,宽基趋势承接
300316.SZ,晶盛机电,3029330897.01,4.24,186.35,4.49,76437487731.0,True,True,False,core,"['存储芯片', '半导体概念', '新材料']",2026-06-26,58.37,3.346317280453249,57.001999999999995,54.169000000000004,51.49349999999998,48.18833333333334,53.23,59.27,1.1456433806215778,7.360985088292801,14.856355765446665,1.8673647469459098,0.7631578947368409,0.23684210526315913,0.1157894736842098,-1.009206798866856,7.755358230722351,13.354112654995333,-1.51847477644678,55.47,3.856925,11.369808,3.856925,6,broad_trend,宽基趋势承接
300236.SZ,上海新阳,2397654463.89,7.38,88.22,7.85,36590500184.0,True,True,False,core,"['存储芯片', '半导体概念', '光刻机(胶)']",2026-06-26,116.76,2.7997886951928166,111.912,106.816,100.09400000000001,93.32866666666665,103.58,119.0,1.1567879362605642,6.738017445097043,28.05439789427507,7.011273027220241,0.7200000000000006,0.27999999999999936,0.03125,-2.051417503081538,9.309466746554818,16.650348672248086,-1.882352941176464,111.0,3.824109,11.939294,3.824109,7,broad_trend,宽基趋势承接
600596.SH,新安股份,2301107452.0,9.69,62.38,1.93,24022827472.0,True,True,False,core,"['液冷概念', '新材料']",2026-06-26,17.8,3.7900874635568726,16.902,16.129,14.983500000000001,13.010333333333332,15.1,18.39,1.1296595888577567,7.414310947680816,48.953974895397494,7.552870090634428,0.6335403726708074,0.36645962732919257,0.32919254658384955,0.9329446064139972,10.360220720441433,18.79734374478592,-3.208265361609577,16.78,3.589453,12.939295,4.106953,8,broad_trend,宽基趋势承接
605020.SH,永和股份,1926380882.0,9.38,29.2,3.69,21055947762.0,True,True,False,core,['液冷概念'],2026-06-26,41.22,6.018518518518505,38.498000000000005,36.819,35.306,30.056333333333335,33.4,42.0,1.360460945502717,7.402976346793387,24.306393244873362,9.656823623304064,0.7863013698630134,0.2136986301369867,0.041095890410958534,-0.9773662551440339,11.953067709606444,16.75069393304254,-1.8571428571428612,38.35,3.581611,11.860523,3.824825,9,broad_trend,宽基趋势承接
002745.SZ,木林森,1582208728.39,11.68,11.32,1.6,18967646579.0,True,True,False,core,"['PCB', '半导体概念']",2026-06-26,12.78,0.868192580899759,12.114,11.353000000000002,10.651499999999999,9.726333333333333,11.14,13.15,1.2883541838926371,6.112522350002151,23.00288739172281,9.605488850771863,0.5194805194805179,0.48051948051948207,0.2207792207792208,-0.9471191791633657,12.569364925570298,19.983100971694128,-2.8136882129277723,12.38,3.333281,11.637762,4.609852,10,broad_trend,宽基趋势承接
300433.SZ,蓝思科技,10337807545.18,3.74,-490.38,5.6,293445204963.0,True,True,False,core,"['玻璃基板', '液冷概念', '新材料']",2026-06-26,55.59,-0.23330940416366275,54.272000000000006,51.38100000000001,47.16100000000001,36.167333333333325,50.39,58.5,0.9805124214579866,8.866975616376564,37.25925925925927,3.3079353280059536,0.5781250000000011,0.42187499999999883,0.29464285714285743,-2.5125628140703498,8.19174402989431,17.872818642522418,-4.974358974358978,53.0,3.313187,12.857904,18.324044,11,broad_trend,宽基趋势承接
300304.SZ,云意电气,837640810.17,5.04,61.46,5.14,17290649807.0,True,True,False,core,['半导体概念'],2026-06-26,19.69,1.7571059431524532,19.381999999999998,18.214,16.584,14.109333333333334,17.82,20.66,0.9743598099692099,7.376354089572821,48.828420256991706,5.746509129967762,0.6959459459459465,0.3040540540540535,0.2500000000000006,-1.6537467700258475,8.10365652794556,18.72889532079114,-4.695062923523707,18.66,3.296573,12.338839,3.296573,12,broad_trend,宽基趋势承接
002733.SZ,雄韬股份,1517473004.72,11.69,160.91,5.08,13616576517.0,False,False,False,,[],2026-06-26,35.44,2.103140305387498,34.206,35.076,33.649,30.3865,32.04,37.98,0.9779837674198735,7.006023029174675,6.3625450180071965,1.2571428571428385,0.7414965986394545,0.25850340136054556,0.23809523809523866,-2.160760587726884,1.03774660736687,5.322595025112193,-6.687730384412845,33.26,2.687451,10.477232,2.687451,13,broad_trend,宽基趋势承接
003036.SZ,泰坦股份,1204821895.82,5.75,265.21,15.43,21758908603.0,False,False,False,,[],2026-06-26,100.6,7.708779443254812,94.332,94.6,84.955,52.82933333333333,84.51,104.79,0.8162416791175748,8.629453448473523,41.6901408450704,3.8934214602912363,0.8895705521472383,0.1104294478527616,0.20858895705521455,-1.7987152034261271,6.342494714587744,18.41563180507326,-3.998473136749709,89.0,2.293533,11.981672,2.293533,14,broad_trend,宽基趋势承接
600563.SH,法拉电子,3193625618.0,7.59,39.66,7.35,42471000000.0,False,False,False,,[],2026-06-26,188.76,-0.6735424121237656,178.602,169.98399999999998,164.66200000000003,141.4801666666667,160.6,195.5,1.2316929875537221,7.763742944101488,15.393079838611072,9.14768127674337,0.6213483146067413,0.3786516853932587,0.5786516853932587,-1.073458219322248,11.04574548192771,14.634827707667796,-3.4475703324808222,177.7,2.254744,11.505631,2.254744,15,broad_trend,宽基趋势承接
002925.SZ,盈趣科技,856988414.69,4.71,51.72,3.86,19291726325.0,False,False,False,,[],2026-06-26,25.0,1.6260162601625865,23.762,22.628999999999998,22.1015,20.61216666666667,21.55,25.84,1.3611882359281235,5.2542809716800996,31.164742917103894,9.361329833770782,0.5624999999999997,0.43750000000000033,0.19270833333333218,-1.2601626016260212,10.477705599010136,13.114494491324109,-3.2507739938080533,23.92,1.694007,11.8524,1.729007,16,broad_trend,宽基趋势承接
