price,ma5,ma10,ma20,ma60,high20,low5,vol_ratio,avg_range20,momentum20,momentum5,close_position,upper_shadow,lower_shadow,gap,ma10_dist,ma20_dist,high20_dist,amount,turnover,day_ret,low,fwd_1d_close_ret_pct,fwd_3d_close_ret_pct,code,name,trade_date,pe,pb,market_cap,is_theme,is_core_theme,is_satellite_theme,theme_tier,concepts,score,amount_score,quality_score,strategy,strategy_name,rank,recommendation_score,strategy_hits,hit_count,reason,recommend_rank
16.69,16.076,16.086000000000002,15.653,14.475666666666667,17.25,15.22,0.8561340215152761,5.751788600878717,24.83171278982799,2.7076923076923265,0.761658031088084,0.23834196891191595,0.15025906735751268,-0.6406149903907732,3.754817854034556,6.624928128793201,-3.246376811594203,451685716.0,8.4,6.92,15.22,2.4565608148591878,3.295386458957439,603386.SH,骏亚科技,2026-06-01,-82.9,5.18,6780982797.0,True,True,False,core,"['PCB', '半导体概念']",3.882083,10.752556,7.250655,main_theme,主线三日趋势承接,2,626.41,"main_theme,fund_flow,broad_trend,breakout_theme",4,"命中主线三日趋势承接、资金/量能承接近似、宽基趋势承接、主线突破增强；概念=PCB,半导体概念；20日涨幅24.83%；量比0.86；换手8.40%；当日涨幅6.92%，需等分时承接确认",1
9.72,9.64,9.719999999999999,9.5095,8.339333333333334,10.68,9.23,0.7978848286551435,4.889660535038894,14.48763250883394,-1.2195121951219363,0.7735849056603785,0.22641509433962145,0.43396226415094136,-1.0373443983402666,2.842170943040401e-14,2.2135758977864413,-8.988764044943807,121682453.0,5.78,0.83,9.31,-1.0288065843621519,3.703703703703698,300665.SZ,飞鹿股份,2026-06-01,-103.62,5.5,2479039884.0,True,True,False,core,"['半导体概念', '新材料']",3.910211,9.607494,7.870782,main_theme,主线三日趋势承接,1,618.551,"main_theme,broad_trend",2,"命中主线三日趋势承接、宽基趋势承接；概念=半导体概念,新材料；20日涨幅14.49%；量比0.80；换手5.78%；当日涨幅0.83%，追高压力相对可控",2
40.28,40.348,39.393,38.5595,35.60283333333333,41.97,38.0,1.507054704327144,5.726954653475004,16.821345707656633,-1.9951338199513344,0.7651006711409408,0.23489932885905923,0.36577181208053844,-2.1036814425244046,2.251669078262637,4.4619354504078075,-4.026685727900883,285667695.0,5.03,0.88,38.0,-1.539225422045687,-5.4121151936444845,605058.SH,澳弘电子,2026-06-01,41.34,3.13,5472602845.0,True,True,False,core,['PCB'],3.754791,10.803983,3.972291,main_theme,主线三日趋势承接,3,584.774,"main_theme,fund_flow,broad_trend",3,命中主线三日趋势承接、资金/量能承接近似、宽基趋势承接；概念=PCB；20日涨幅16.82%；量比1.51；换手5.03%；当日涨幅0.88%，追高压力相对可控,3
26.08,24.586,24.288,23.404999999999998,23.337666666666667,27.0,22.41,1.3463592220240632,4.586467942521377,20.964749536178104,7.546391752577321,0.566037735849056,0.433962264150944,0.28301886792452885,-1.1253395421032195,7.378129117259547,11.42918179876095,-3.407407407407419,429773201.96,8.51,1.2,24.88,3.2592024539877418,5.559815950920255,001269.SZ,欧晶科技,2026-06-01,-96.68,6.24,4204201960.0,True,True,False,core,['半导体概念'],3.611733,11.027836,7.374019,main_theme,主线三日趋势承接,5,574.059,"main_theme,fund_flow,broad_trend,breakout_theme",4,命中主线三日趋势承接、资金/量能承接近似、宽基趋势承接、主线突破增强；概念=半导体概念；20日涨幅20.96%；量比1.35；换手8.51%；当日涨幅1.20%，追高压力相对可控,4
56.1,55.974000000000004,54.847,51.77049999999999,41.26116666666666,61.1,51.61,1.2165856553397216,7.864965184679444,36.629322942036055,6.25,0.5639097744360904,0.43609022556390964,0.44661654135338336,-0.10834236186349244,2.2845369847028962,8.362870746853929,-8.183306055646483,4047311905.0,10.79,1.3,52.35,-4.028520499108734,13.90374331550801,605358.SH,立昂微,2026-06-01,2013.97,5.61,58200666743.0,True,True,False,core,['半导体概念'],3.728211,12.655218,3.728211,main_theme,主线三日趋势承接,4,554.641,"main_theme,broad_trend",2,命中主线三日趋势承接、宽基趋势承接；概念=半导体概念；20日涨幅36.63%；量比1.22；换手10.79%；当日涨幅1.30%，追高压力相对可控,5
35.6,34.256,33.569,31.237000000000002,27.604333333333333,36.18,32.9,0.9208841962348322,5.546880638289027,34.137151469480045,6.459330143540683,0.845714285714288,0.154285714285712,0.44571428571428634,-0.5981201936770191,6.050224909887092,13.967410442744182,-1.6030956329463777,922679809.0,5.22,1.4,34.12,-2.0224719101123556,-3.2022471910112427,605020.SH,永和股份,2026-06-02,29.2,3.69,21055947762.0,True,True,False,core,['液冷概念'],4.47335,11.592793,4.716564,main_theme,主线三日趋势承接,1,643.0,"main_theme,broad_trend,breakout_theme",3,命中主线三日趋势承接、宽基趋势承接、主线突破增强；概念=液冷概念；20日涨幅34.14%；量比0.92；换手5.22%；当日涨幅1.40%，追高压力相对可控,1
398.8,395.948,384.327,355.8265,291.2705,430.59,369.0,1.2321654772075026,6.480165549984131,26.062905010273425,1.3082687666709205,0.8514285714285718,0.14857142857142824,0.48799999999999955,1.5999999999999943,3.765803599538927,12.077093752151697,-7.382893239508576,5633105137.92,2.17,4.95,369.0,-4.212637913741224,-6.469408224674023,002916.SZ,深南电路,2026-06-02,86.83,17.94,295285718933.0,True,True,False,core,"['PCB', '存储芯片']",4.332608,12.286059,4.332608,main_theme,主线三日趋势承接,2,630.0,"main_theme,fund_flow,broad_trend",3,"命中主线三日趋势承接、资金/量能承接近似、宽基趋势承接；概念=PCB,存储芯片；20日涨幅26.06%；量比1.23；换手2.17%；当日涨幅4.95%，需等分时承接确认",2
131.0,129.38,122.41499999999999,114.56700000000001,95.98150000000001,138.87,119.2,1.1993899665065653,6.151598223596739,25.61127624892127,2.1124015901473427,0.9225957779515239,0.07740422204847605,0.3752931978107893,1.2162272467553663,7.013029449005444,14.34357188370123,-5.667170735219997,10748522009.81,4.4,6.93,119.2,-0.916030534351131,1.6946564885496285,002463.SZ,沪电股份,2026-06-02,57.05,17.91,283420261729.0,True,True,False,core,['PCB'],4.162379,12.511303,4.162379,main_theme,主线三日趋势承接,4,590.0,"main_theme,fund_flow,broad_trend",3,命中主线三日趋势承接、资金/量能承接近似、宽基趋势承接；概念=PCB；20日涨幅25.61%；量比1.20；换手4.40%；当日涨幅6.93%，需等分时承接确认,3
23.75,23.626,22.901,21.2065,18.255666666666666,24.99,22.08,1.0882812088124514,6.1670441864443575,30.781938325991177,2.370689655172413,0.7877358490566042,0.2122641509433958,0.4669811320754724,0.2607561929595761,3.707261691629185,11.993964114776134,-4.961984793917566,653298941.0,7.61,3.22,22.08,3.915789473684206,2.2736842105263166,300151.SZ,昌红科技,2026-06-02,191.51,8.45,12987905778.0,True,True,False,core,['半导体概念'],4.274213,11.44249,4.274213,main_theme,主线三日趋势承接,3,577.0,"main_theme,broad_trend",2,命中主线三日趋势承接、宽基趋势承接；概念=半导体概念；20日涨幅30.78%；量比1.09；换手7.61%；当日涨幅3.22%，追高压力相对可控,4
51.35,51.164,51.448,48.7305,38.028666666666666,55.75,45.99,1.0071892915948353,7.70708459382606,25.091352009744213,-1.7224880382775183,0.8361934477379098,0.16380655226209012,0.34945397815912577,0.9206947060054489,-0.19048359508630597,5.375483526744034,-7.892376681614337,4235369221.0,8.55,7.45,45.99,10.009737098344695,10.535540408958122,601208.SH,东材科技,2026-06-02,99.55,12.22,74399973752.0,True,True,False,core,"['PCB', '半导体概念', '光刻机(胶)', 'MLCC']",4.109527,11.888648,4.109527,main_theme,主线三日趋势承接,5,564.0,"main_theme,fund_flow,broad_trend",3,"命中主线三日趋势承接、资金/量能承接近似、宽基趋势承接；概念=PCB,半导体概念,光刻机(胶)；20日涨幅25.09%；量比1.01；换手8.55%；当日涨幅7.45%，需等分时承接确认",5
