date,code,close,next_ret,main_net,main_pct,main_sum3,main_pct3,ret1,vol_ratio,turnover,market_main_net,market_main_pct,score
2026-04-08,002559,9.81,-0.0050968399592253855,23313678.0,9.02,57508417.0,9.723333333333334,0.05257510729613735,0.8128448204656211,5.25,86888710144.0,3.57,2.3
2026-04-08,600343,33.03,-0.013623978201634968,22083214.0,1.36,31204332.0,0.30999999999999833,0.050906776964683376,1.07555681193212,7.7,86888710144.0,3.57,1.8
2026-04-08,600461,9.73,-0.013360739979445091,20654658.0,14.36,22467673.0,5.690000000000001,0.019916142557652172,0.9485072073228111,1.15,86888710144.0,3.57,1.6
2026-04-10,600228,6.22,-0.001607717041800627,5452596.0,5.82,20678939.0,12.68,0.047138047138046923,1.4963679000118684,3.65,1458601984.0,0.06,2.8000000000000003
2026-04-10,600545,4.11,0.041362530413625365,136096877.0,12.5,218228281.0,7.790000000000002,0.040506329113924044,0.9692824683714354,14.36,1458601984.0,0.06,2.2
2026-04-10,603903,11.95,-0.013389121338912124,1429763.0,1.26,9200284.0,6.389999999999998,0.045494313210848514,1.217837222828568,3.73,1458601984.0,0.06,2.0
2026-04-10,002559,10.03,0.013958125623130702,762864.0,0.31,10453172.0,0.21333333333333573,0.027663934426229497,1.0081841334547437,4.79,1458601984.0,0.06,0.9000000000000001
2026-06-15,600630,9.06,0.001103752759381793,48667029.0,16.02,154917242.0,17.113333333333333,0.020270270270270174,2.2601815547085105,8.1,68517621760.0,2.26,3.1
2026-06-15,002559,10.06,0.0248508946322068,58705013.0,10.38,97847896.0,6.926666666666669,0.06455026455026469,1.1235027001330515,11.24,68517621760.0,2.26,2.8
2026-06-15,600228,8.11,0.09987669543773126,4262960.0,1.11,8259572.0,0.623333333333334,0.08422459893048106,2.9019062269215996,11.8,68517621760.0,2.26,2.5
