date,code,close,next_ret,main_net,main_pct,main_sum3,main_pct3,ret1,vol_ratio,turnover,market_main_net,market_main_pct,score
2026-04-08,001270,115.73,0.05011665082519645,89409442.0,36.23,15254908.0,7.683333333333331,0.0500861990744943,0.8909015093354326,1.05,86888710144.0,3.57,2.7777777777777777
2026-04-08,002559,9.81,-0.0050968399592253855,23313678.0,9.02,57508417.0,9.723333333333334,0.05257510729613735,0.8128448204656211,5.25,86888710144.0,3.57,2.5
2026-04-08,000810,11.46,0.038394415357766,44502944.0,16.61,37338379.0,3.0466666666666673,0.061111111111111116,0.9560385743596476,2.13,86888710144.0,3.57,2.5
2026-04-08,002180,17.03,-0.02348796241926021,18847578.0,9.44,26654380.0,5.509999999999998,0.04800000000000004,0.7682748298376726,0.87,86888710144.0,3.57,2.0
2026-04-08,600461,9.73,-0.013360739979445091,20654658.0,14.36,22467673.0,5.690000000000001,0.019916142557652172,0.9485072073228111,1.15,86888710144.0,3.57,1.8333333333333333
2026-04-10,600228,6.22,-0.001607717041800627,5452596.0,5.82,20678939.0,12.68,0.047138047138046923,1.4963679000118684,3.65,1458601984.0,0.06,2.8333333333333335
2026-04-10,600545,4.11,0.041362530413625365,136096877.0,12.5,218228281.0,7.790000000000002,0.040506329113924044,0.9692824683714354,14.36,1458601984.0,0.06,2.4444444444444446
2026-04-10,603903,11.95,-0.013389121338912124,1429763.0,1.26,9200284.0,6.389999999999998,0.045494313210848514,1.217837222828568,3.73,1458601984.0,0.06,2.166666666666667
2026-04-10,002456,9.35,0.0064171122994653995,137030228.0,7.81,157772395.0,3.560000000000002,0.03888888888888875,1.1898052929398413,5.61,1458601984.0,0.06,1.9444444444444444
2026-04-10,603978,25.24,0.01267828843106189,13262753.0,5.36,27395595.0,4.153333333333335,0.01040832666132907,0.725356561146212,4.63,1458601984.0,0.06,1.0555555555555556
2026-06-15,002559,10.06,0.0248508946322068,58705013.0,10.38,97847896.0,6.926666666666669,0.06455026455026469,1.1235027001330515,11.24,68517621760.0,2.26,2.9444444444444446
2026-06-15,600630,9.06,0.001103752759381793,48667029.0,16.02,154917242.0,17.113333333333333,0.020270270270270174,2.2601815547085105,8.1,68517621760.0,2.26,2.944444444444444
2026-06-15,600228,8.11,0.09987669543773126,4262960.0,1.11,8259572.0,0.623333333333334,0.08422459893048106,2.9019062269215996,11.8,68517621760.0,2.26,2.2777777777777777
2026-06-15,002674,16.65,-0.038438438438438305,11908603.0,4.74,16854123.0,2.5433333333333317,0.04062499999999991,1.1702904006874872,5.26,68517621760.0,2.26,1.7777777777777777
